yr,service,inci_id,calltime,case_id,callsource,nature,closecode,closed_as,secs_to_disp,secs_to_arrv,secs_to_close,disp,arrv,beat,priority,zip,primeunit,units_dispd,units_arrived
2015,LAW ,15063676,2015-03-19 16:44:02.000,,PHONE,THEFT,INFO,INFORMATION ONLY,24245.0,24834.0,28610,1,1,EP02,4,97401,6E97  ,1,1
2015,LAW ,15063677,2015-03-19 16:47:13.000,,PHONE,CHECK WELFARE,ASST,ASSISTED,454.0,2440.0,6327,1,1,EP02,8,97401,CAHOOT,1,1
2015,LAW ,15063680,2015-03-19 16:51:18.000,,SELF,PERSON STOP,ASST,ASSISTED,0.0,0.0,71,1,1,EP02,6,97401,3F68  ,1,1
2015,LAW ,15063681,2015-03-19 16:52:19.000,,PHONE,CHECK WELFARE,ASST,ASSISTED,229.0,638.0,1967,1,1,EP02,8,97401,CAHOOT,1,1
2015,LAW ,15063682,2015-03-19 16:52:26.000,,SELF,ASSIST PUBLIC- POLICE,FIX ,FIX-IT TICKET,0.0,0.0,214,1,1,EP01,P,97401,1M15  ,1,1
2015,LAW ,15063684,2015-03-19 16:56:00.000,,PHONE,ILLEGAL CAMPING,CAMP,,,,251,0,0,EP04,P,97402,,0,0
2015,LAW ,15063686,2015-03-19 16:58:38.000,,PHONE,CRIMINAL TRESPASS,DIS ,DISREGARD,,,4974,0,0,EP02,3,97401,,0,0
2015,LAW ,15063687,2015-03-19 16:58:43.000,,SELF,PERSON STOP,WARN,WARNING,1.0,1.0,48,1,1,EP02,6,97401,4F71  ,1,1
2015,LAW ,15063688,2015-03-19 16:59:53.000,,E911,INCOMPLETE CALL,DIS ,DISREGARD,,,869,0,0,EP02,3,97401,,0,0
2015,LAW ,15063691,2015-03-19 17:05:09.000,1504710,SELF,ILLEGAL CAMPING,REPT,REPORT TAKEN,1.0,1.0,1071,1,1,EP05,P,97402,3X30  ,1,1
2015,LAW ,15063694,2015-03-19 17:07:52.000,1504711,SELF,THEFT,CLC ,CITED IN LIEU OF CUSTODY,0.0,0.0,9617,1,1,EP02,P,97401,3E25  ,2,2
2015,LAW ,15063695,2015-03-19 17:08:14.000,1504715,PHONE,BURGLARY,REPT,REPORT TAKEN,2442.0,6494.0,6875,1,1,EP01,4,97401,3W79  ,1,1
2015,LAW ,15063696,2015-03-19 17:08:53.000,,SELF,PERSON STOP,ADVI,ADVISED,0.0,0.0,68,1,1,EP02,6,97401,3F65  ,1,1
2015,LAW ,15063703,2015-03-19 17:12:33.000,,SELF,PERSON STOP,ASST,ASSISTED,0.0,0.0,74,1,1,EP02,6,97401,4F71  ,1,1
2015,LAW ,15063705,2015-03-19 17:14:43.000,,SELF,PATROL CHECK,PCHK,PATROL CHECK,0.0,0.0,198,1,1,EP02,6,97401,4F71  ,1,1
2015,LAW ,15063706,2015-03-19 17:15:48.000,,PHONE,ANIMAL COMPLAINT,UTL ,UNABLE TO LOCATE,,,234,0,0,EP05,8,97402,,0,0
2015,LAW ,15063707,2015-03-19 17:16:28.000,,SELF,PATROL CHECK,PCHK,PATROL CHECK,0.0,0.0,2,1,1,EP05,6,97402,3F65  ,1,1
2015,LAW ,15063710,2015-03-19 17:21:25.000,,PHONE,HARASSMENT,INFO,INFORMATION ONLY,,,1265,0,0,EP05,P,97402,,0,0
2015,LAW ,15063711,2015-03-19 17:21:54.000,,PHONE,ILLEGAL BURNING,DIS ,DISREGARD,,,1433,0,0,EP04,1,97405,,0,0
2015,LAW ,15063713,2015-03-19 17:23:42.000,,SELF,PATROL CHECK,PCHK,PATROL CHECK,0.0,0.0,274,1,1,EP02,6,97401,3F65  ,1,1
2015,LAW ,15063714,2015-03-19 17:23:49.000,,PHONE,CHECK WELFARE,DIS ,DISREGARD,,,3374,0,0,EP02,7,97402,CAHOOT,0,0
2015,LAW ,15063717,2015-03-19 17:24:25.000,,SELF,TRAFFIC STOP,WARN,WARNING,0.0,0.0,826,1,1,EP05,6,97402,3X30  ,1,1
2015,LAW ,15063719,2015-03-19 17:24:49.000,,PHONE,BEAT INFORMATION,INFO,INFORMATION ONLY,10375.0,10375.0,10393,1,1,EP06,5,97404,4E61  ,1,1
2015,LAW ,15063723,2015-03-19 17:27:04.000,,W911,DISPUTE,ADVI,ADVISED,108.0,341.0,1414,1,1,EP02,3,97401,3F65  ,3,2
2015,LAW ,15063726,2015-03-19 17:32:02.000,1504716,E911,ASSIST OUTSIDE AGENCY,NCH ,NON CRIMINAL HOLD,231.0,529.0,9519,1,1,EP01,3,97401,4E53  ,5,5
2015,LAW ,15063732,2015-03-19 17:42:41.000,,PHONE,MOTOR VEH ACC NO INJURY,MVAN,MOTOR VEHICLE ACCIDENT - NO DISPATCH,,,532,0,0,EP02,1,97401,,0,0
2015,LAW ,15063737,2015-03-19 17:49:45.000,,PHONE,CRIMINAL TRESPASS,WCB ,CALLER WILL CALL BACK,,,971,0,0,EP01,3,97401,,0,0
2015,LAW ,15063738,2015-03-19 17:50:00.000,1504712,SELF,PERSON STOP,CLC ,CITED IN LIEU OF CUSTODY,1.0,1.0,535,1,1,EP02,6,97401,3F68  ,1,1
2015,LAW ,15063740,2015-03-19 17:54:41.000,,PHONE,ANIMAL ABUSE,GOA ,GONE ON ARRIVAL,2441.0,2441.0,2655,1,1,EP01,3,97401,4E34  ,1,1
2015,LAW ,15063741,2015-03-19 17:54:51.000,,PHONE,LOUD NOISE,RSLV,RESOLVED,,,294,0,0,EP02,5,97401,,0,0
2015,LAW ,15063743,2015-03-19 17:58:41.000,,W911,TRAFFIC HAZARD,RSLV,RESOLVED,271.0,615.0,2712,1,1,EP06,3,97404,4E42  ,2,2
2015,LAW ,15063745,2015-03-19 18:01:06.000,,PHONE,DAMAGE CITY PROPERTY,INFO,INFORMATION ONLY,586.0,586.0,589,1,1,EP05,3,97402,3E56  ,1,1
2015,LAW ,15063746,2015-03-19 18:01:31.000,1504713,SELF,PATROL CHECK,CLC ,CITED IN LIEU OF CUSTODY,0.0,0.0,510,1,1,EP02,6,97401,3F68  ,1,1
2015,LAW ,15063750,2015-03-19 18:02:43.000,,SELF,ARREST,RSLV,RESOLVED,0.0,0.0,907,1,1,EP02,P,97401,2Y19  ,1,1
2015,LAW ,15063751,2015-03-19 18:03:48.000,,PHONE,ASSAULT,ADVI,ADVISED,16392.0,17118.0,18923,1,1,EP06,4,97404,5E66  ,1,1
2015,LAW ,15063754,2015-03-19 18:05:05.000,,E911,TRAFFIC HAZARD,GOA ,GONE ON ARRIVAL,459.0,858.0,1110,1,1,EP01,3,97401,3W73  ,1,1
2015,LAW ,15063755,2015-03-19 18:07:12.000,,PHONE,LOUD NOISE,DIS ,DISREGARD,,,2323,0,0,EP02,5,97401,,0,0
2015,LAW ,15063757,2015-03-19 18:07:41.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,910,1,1,EP05,6,97402,4T88  ,2,2
2015,LAW ,15063760,2015-03-19 18:09:36.000,,PHONE,ILLEGAL MOTORCYCLE,INFO,INFORMATION ONLY,561.0,561.0,577,1,1,EP05,5,97402,3E56  ,1,1
2015,LAW ,15063763,2015-03-19 18:11:01.000,,PHONE,FOUND CONTRABAND,RSLV,RESOLVED,4202.0,4204.0,4224,1,1,EP06,5,97404,3W73  ,1,1
2015,LAW ,15063764,2015-03-19 18:12:48.000,,PHONE,RECKLESS ENDANGERING,UTL ,UNABLE TO LOCATE,290.0,833.0,887,1,1,EP01,3,97401,3E16  ,2,2
2015,LAW ,15063766,2015-03-19 18:21:29.000,,PHONE,INTOXICATED SUBJECT,GOA ,GONE ON ARRIVAL,760.0,2097.0,2396,1,1,EP03,5,97405,CAHOOT,1,1
2015,LAW ,15063773,2015-03-19 18:28:04.000,,SELF,DISABLED VEHICLE,ASST,ASSISTED,0.0,0.0,341,1,1,EP01,P,97401,3E16  ,1,1
2015,LAW ,15063779,2015-03-19 18:31:56.000,,PHONE,SUBJECT DOWN,ASST,ASSISTED,86.0,1181.0,2170,1,1,EP02,1,97401,CAHOOT,1,1
2015,LAW ,15063785,2015-03-19 18:41:11.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,665,1,1,EP05,6,97402,4T88  ,1,1
2015,LAW ,15063787,2015-03-19 18:44:58.000,,PHONE,DISPUTE,GOA ,GONE ON ARRIVAL,155.0,709.0,2038,1,1,EP05,3,97402,3E58  ,2,2
2015,LAW ,15063788,2015-03-19 18:47:59.000,,PHONE,BEAT INFORMATION,INFO,INFORMATION ONLY,5351.0,,5374,1,0,EP05,5,97402,4E53  ,1,1
2015,LAW ,15063790,2015-03-19 18:50:37.000,,PHONE,BEAT INFORMATION,INFO,INFORMATION ONLY,8196.0,8196.0,8200,1,1,EP04,5,97402,5E48  ,1,1
2015,LAW ,15063793,2015-03-19 18:58:48.000,,PHONE,THEFT FROM VEHICLE,WCB ,CALLER WILL CALL BACK,,,169,0,0,EP02,4,97401,,0,0
