yr,service,inci_id,calltime,case_id,callsource,nature,closecode,closed_as,secs_to_disp,secs_to_arrv,secs_to_close,disp,arrv,beat,priority,zip,primeunit,units_dispd,units_arrived
2014,LAW ,14198935,2014-09-01 19:46:56.000,,SELF,PERSON STOP,ADVI,ADVISED,0.0,0.0,639,1,1,EP05,6,97402,3E49  ,1,1
2014,LAW ,14198940,2014-09-01 19:53:23.000,1414777,E911,THEFT,REPT,REPORT TAKEN,1779.0,1782.0,4925,1,1,EP01,4,97401,3V73  ,5,5
2014,LAW ,14198944,2014-09-01 19:56:47.000,,PHONE,BEAT INFORMATION,INFO,INFORMATION ONLY,246.0,,252,1,0,EP02,5,97401,4E24  ,1,1
2014,LAW ,14198945,2014-09-01 19:57:23.000,,SELF,TRAFFIC STOP,ADVI,ADVISED,0.0,0.0,245,1,1,LS13,6,97402,1M16  ,1,1
2014,LAW ,14198946,2014-09-01 19:57:38.000,,W911,CHECK WELFARE,GOA ,GONE ON ARRIVAL,799.0,1060.0,1937,1,1,EP02,3,97401,4E24  ,3,3
2014,LAW ,14198948,2014-09-01 19:59:22.000,,SELF,PERSON STOP,ADVI,ADVISED,0.0,0.0,35,1,1,EP01,6,97401,CMD8  ,1,1
2014,LAW ,14198955,2014-09-01 20:14:37.000,1414776,PHONE,CRIMINAL TRESPASS,ARR ,ARREST,1048.0,1104.0,7684,1,1,EP02,3,97401,4E24  ,3,3
2014,LAW ,14198957,2014-09-01 20:15:57.000,,PHONE,CRIMINAL TRESPASS,WCB ,CALLER WILL CALL BACK,,,149,0,0,EP02,3,97401,,0,0
2014,LAW ,14198960,2014-09-01 20:22:31.000,,PHONE,CHILD ABUSE,WELC,WELFARE CHECK DONE,3237.0,4512.0,6098,1,1,EP05,4,97402,5E58  ,2,2
2014,LAW ,14198964,2014-09-01 20:32:05.000,,PHONE,LOUD NOISE,QOA ,QUIET ON ARRIVAL,10004.0,10004.0,10271,1,1,EP05,5,97402,5X51  ,1,1
2014,LAW ,14198970,2014-09-01 20:41:37.000,,PHONE,DISABLED VEHICLE,GOA ,GONE ON ARRIVAL,140.0,,339,1,0,EP02,3,97401,4E31  ,1,1
